CID,SGG_NM,POINT_X,POINT_Y
0,경기도 가평군,127.491040737999995,37.673779525999997
0,경기도 가평군,127.421290999999997,37.741711617000000
0,경기도 가평군,127.418017094000007,37.736143196699999
0,경기도 가평군,127.510257597000006,37.818613038300001
0,경기도 가평군,127.425779865999999,37.749225845799998
0,경기도 가평군,127.517623506999996,37.816073253200003
0,경기도 고양시 덕양구,126.874032012000001,37.608351510299997
0,경기도 고양시 덕양구,126.882044829999998,37.636325307800000
0,경기도 고양시 덕양구,126.852009859000006,37.616300753300003
0,경기도 고양시 덕양구,126.845515715000005,37.610188042200001
0,경기도 고양시 덕양구,126.850616160000001,37.622722565499998
0,경기도 고양시 덕양구,126.883051467000001,37.636469959899998
0,경기도 고양시 덕양구,126.866433193999995,37.579402526800003
0,경기도 고양시 덕양구,126.902666139000004,37.700791792200000
0,경기도 고양시 덕양구,126.871372475000001,37.629477383100003
0,경기도 고양시 덕양구,126.883665626999999,37.628854107000002
0,경기도 고양시 덕양구,126.865939190000006,37.617885445399999
0,경기도 고양시 덕양구,126.826378968000000,37.633087030600002
0,경기도 고양시 덕양구,126.897139224000000,37.647892226800003
0,경기도 고양시 덕양구,126.824956529999994,37.624127993800002
0,경기도 고양시 덕양구,126.835876587000001,37.615087127999999
0,경기도 고양시 덕양구,126.893441053000004,37.602411386100002
0,경기도 고양시 덕양구,126.902989777000002,37.715165009499998
0,경기도 고양시 덕양구,126.865108871999993,37.580438015399999
0,경기도 고양시 덕양구,126.916804743000000,37.654297450100003
0,경기도 고양시 덕양구,126.890054176000007,37.594244745899999
0,경기도 고양시 덕양구,126.892839366999993,37.607267375100001
0,경기도 고양시 덕양구,126.836811753000006,37.624594531000000
0,경기도 고양시 덕양구,126.862557871999996,37.614412538600000
0,경기도 고양시 덕양구,126.876987595000003,37.632934526600003
0,경기도 고양시 덕양구,126.929690816000004,37.651584567900002
0,경기도 고양시 덕양구,126.831724315000002,37.632096823399998
0,경기도 고양시 덕양구,126.878249656999998,37.608059637499998
0,경기도 고양시 덕양구,126.893902187999998,37.601685635999999
0,경기도 고양시 덕양구,126.831903475000004,37.649910132700001
0,경기도 고양시 덕양구,126.880181304000004,37.612839398399998
0,경기도 고양시 덕양구,126.829383585000002,37.619065538800001
0,경기도 고양시 덕양구,126.836865540000005,37.653882404400001
0,경기도 고양시 덕양구,126.887867567000001,37.625957489800001
0,경기도 고양시 덕양구,126.836502323999994,37.635128748000000
0,경기도 고양시 덕양구,126.862535487000002,37.609823723600002
0,경기도 고양시 덕양구,126.850811299000000,37.661244163600003
0,경기도 고양시 덕양구,126.865630855999996,37.593184067800003
0,경기도 고양시 덕양구,126.838694369999999,37.656459046000002
0,경기도 고양시 덕양구,126.844490648000004,37.620650552999997
0,경기도 고양시 덕양구,126.822063084000007,37.623438725900002
0,경기도 고양시 덕양구,126.867320488000004,37.617337851499997
0,경기도 고양시 덕양구,126.901593164999994,37.714463385000002
0,경기도 고양시 덕양구,126.840415835000002,37.613208888099997
